cluster_id,keyphrase,tf_score,bug_id,priority
130,xptoolkit m10,0.331,9673,P2
130,xptoolkit m10 feature,0.291,9673,P2
130,xptoolkit m10 feature development,0.235,9673,P2
130,sched xptoolkit,0.139,9673,P2
130,sched xptoolkit m10,0.139,9673,P2
130,sched xptoolkit m10 feature,0.139,9673,P2
130,xptoolkit m10 task,0.139,9673,P2
131,arch,0.252,7270,P3
131,feature arch,0.149,7270,P3
131,feature arch implement,0.149,7270,P3
132,outline,0.21,6647,P3
132,outline,0.155,1859,P5
132,outline property,0.145,6647,P3
132,outline styles,0.111,6647,P3
132,css2 outline property,0.103,6647,P3
132,outline property,0.095,1859,P5
132,css2 outline,0.095,1859,P5
132,outlines,0.09,1859,P5
133,font,0.146,20418,P5
133,font,0.122,12752,P5
133,font size,0.116,20418,P5
133,font size,0.115,5148,P3
133,gigantic font,0.108,12752,P5
133,font sizes message,0.103,20418,P5
133,font size,0.09,12752,P5
133,font,0.078,12230,P5
133,text size,0.045,4821,P1
134,trying document,0.089,16603,P4
134,incorrect document,0.089,16603,P4
134,document,0.07,8705,P2
135,screen shot,0.224,15436,P4
135,screen shot actual,0.132,15436,P4
135,screen shot actual result,0.132,15436,P4
135,post screenshot,0.099,11427,P4
136,tables,0.133,10140,P1
136,table,0.121,10140,P1
136,contain table,0.108,11229,P4
136,table text,0.108,11229,P4
136,table,0.102,18287,P5
136,table code,0.077,10207,P2
137,quirks mode,0.11,11229,P4
137,quirk,0.074,6625,P2
138,file operation,0.124,10050,P2
138,file io,0.055,7251,P3
139,ntlm,0.07,23679,P5
139,ntlm authentication,0.046,23679,P5
139,ntlm auth,0.043,23679,P5
140,nsframeimageloader,0.111,10083,P1
140,nsobjectframe,0.063,1156,P1
141,converted,0.085,13068,P4
141,converter,0.071,8427,P2
142,causing memory leaks,0.139,35,P3
142,exit causing memory leaks,0.139,35,P3
143,cck,0.144,6117,P1
143,cck mcd,0.089,6117,P1
144,dates,0.13,5107,P3
144,datetime,0.06,1995,P4
145,application copy,0.067,8427,P2
145,application copy paste,0.065,8427,P2
146,heights corrupted vertical scroll,0.086,17089,P4
146,corrupted vertical scroll bar,0.086,17089,P4
147,ftp,0.14,6141,P1
147,ftp directory,0.099,6141,P1
147,ftp download,0.099,6141,P1
147,ftp directory listing,0.08,6141,P1
148,indication,0.108,1859,P5
148,visual indication,0.104,1859,P5
149,identical,0.081,12699,P5
150,dots,0.135,1515,P2
150,round dots,0.118,1515,P2
150,square dots,0.101,1515,P2
150,dot,0.091,1515,P2
150,round dots instead,0.089,1515,P2
151,selectprofile,0.238,24979,P5
151,profile manager selectprofile,0.113,24979,P5
151,profile manager selectprofile start,0.113,24979,P5
152,jpg border,0.178,11371,P5
152,border br img,0.126,11371,P5
152,jpg border br,0.126,11371,P5
152,h2 jpg border,0.126,11371,P5
152,src h2 jpg border,0.126,11371,P5
152,border br img src,0.126,11371,P5
152,jpg border br img,0.126,11371,P5
153,reading file,0.067,7799,P1
153,reading file reading,0.055,7799,P1
153,file reading file,0.055,7799,P1
153,reading file reading file,0.055,7799,P1
154,entered,0.147,7378,P3
154,entered indicating,0.139,10188,P2
155,96 mb,0.112,13831,P4
155,96 mb ram,0.112,13831,P4
155,96 mb,0.094,17092,P4
155,96 mb ram,0.094,17092,P4
155,96 mb,0.093,17089,P4
155,96 mb ram,0.093,17089,P4
155,p2 96 mb ram,0.091,13831,P4
156,view source,0.13,13068,P4
156,view,0.099,10261,P1
157,news ticker,0.117,6515,P3
157,news ticker applet,0.117,6515,P3
158,unlock,0.1,9041,P1
158,unlocked,0.1,9041,P1
159,requirement,0.073,12699,P5
159,requirements,0.071,12699,P5
160,form control,0.084,1859,P5
160,form controls,0.081,6647,P3
161,customize window,0.214,10217,P1
161,customize window does open,0.126,10217,P1
161,longer problem customize window,0.126,10217,P1
162,moment reassigning,0.132,15436,P4
162,moment,0.072,12699,P5
163,default size,0.073,7568,P1
163,window set default size,0.073,7568,P1
